date,author,num_commits,num_lines_added,num_lines_removed
2022-08-22,lucasrodes,2,5,1
2022-08-23,GitHub Action,8,8,8
2022-08-24,GitHub Action,42,42,42
2022-08-24,Mojmir Vinkler,2,73,49
2022-08-24,Pablo Rosado,1,1,0
2022-08-25,GitHub Action,12,12,12
2022-08-25,Lars Yencken,1,1348,147
2022-08-25,Pablo Rosado,1,66,7
2022-08-25,lucasrodes,6,206,723
2022-08-26,GitHub Action,7,8,8
2022-08-26,Lars Yencken,5,175,60
2022-08-26,Marigold,3,916,2728
2022-08-26,Mojmir Vinkler,1,481,30
2022-08-26,Pablo Rosado,2,591,600
2022-08-26,lucasrodes,4,67,24
2022-08-29,Daniel Bachler,1,194,67
2022-08-29,Mojmir Vinkler,1,263,558
2022-08-29,lucasrodes,2,9,7
2022-08-30,Daniel Bachler,3,114,164
2022-08-30,GitHub Action,1,1,1
2022-08-30,lucasrodes,1,16,0
2022-08-31,GitHub Action,1,1,1
2022-08-31,Lars Yencken,5,96,51
2022-08-31,Mojmir Vinkler,1,746,162
2022-08-31,lucasrodes,6,333,40
2022-09-01,Bobbie Macdonald,3,554,257
2022-09-01,GitHub Action,12,14,14
2022-09-01,Lars Yencken,3,214,597
2022-09-01,Marigold,2,27,8
2022-09-01,Mojmir Vinkler,1,410,718
2022-09-02,Bobbie Macdonald,3,485,465
2022-09-02,GitHub Action,18,18,18
2022-09-02,Marigold,3,20,17
2022-09-02,lucasrodes,2,22,6
2022-09-03,GitHub Action,10,10,10
2022-09-04,GitHub Action,8,8,8
2022-09-05,GitHub Action,18,18,18
2022-09-05,Lars Yencken,2,34,11
2022-09-05,Marigold,1,1,1
2022-09-05,Mojmir Vinkler,1,14,0
2022-09-05,Pablo Rosado,3,72,16
2022-09-06,GitHub Action,30,30,30
2022-09-06,Pablo Rosado,6,505,363
2022-09-07,GitHub Action,16,16,16
2022-09-07,Mojmir Vinkler,3,30,22
2022-09-07,Pablo Rosado,1,1,1
2022-09-08,GitHub Action,25,25,25
2022-09-08,Pablo Rosado,4,157,9
2022-09-09,GitHub Action,25,25,25
2022-09-09,Lars Yencken,1,2,2
2022-09-09,Pablo Rosado,6,329,21
2022-09-09,lucasrodes,2,66,0
2022-09-09,spoonerf,3,426,22
2022-09-10,GitHub Action,8,8,8
2022-09-11,GitHub Action,8,8,8
2022-09-12,GitHub Action,11,12,12
2022-09-12,Marigold,3,14,12
2022-09-12,Mojmir Vinkler,3,387,171
