date,author,num_commits,num_lines_added,num_lines_removed
2017-11-15,Jaiden Mispy,1,4,3
2017-11-19,Aibek Aldabergenov,2,478,2
2017-11-20,Aibek Aldabergenov,1,18,18
2017-11-22,Jaiden Mispy,4,910,284
2017-11-23,Aibek Aldabergenov,1,828,0
2017-11-23,Jaiden Mispy,6,1104,1096
2017-11-24,Aibek Aldabergenov,1,37,12
2017-11-27,Jaiden Mispy,1,143,74
2017-11-28,Jaiden Mispy,7,334,246
2017-11-29,Aibek Aldabergenov,1,17,15
2017-11-29,Jaiden Mispy,2,3,3
2017-11-30,Jaiden Mispy,1,5,5
2017-12-02,Aibek Aldabergenov,1,5,4
2017-12-05,Jaiden Mispy,3,708,711
2017-12-09,Jaiden Mispy,10,588,348
2017-12-10,Jaiden Mispy,3,33,162
2017-12-11,Jaiden Mispy,2,129,46
2017-12-12,Jaiden Mispy,4,215,139
2017-12-13,Jaiden Mispy,22,2798,1616
2017-12-14,Jaiden Mispy,1,1,1
2017-12-15,Jaiden Mispy,1,16,12
2017-12-19,Jaiden Mispy,9,669,2448
2017-12-20,Jaiden Mispy,1,305,8
2017-12-21,Jaiden Mispy,6,378,121
2017-12-22,Jaiden Mispy,27,462,649
2017-12-23,Jaiden Mispy,4,98,53
2017-12-24,Jaiden Mispy,9,89,800
2018-01-03,Jaiden Mispy,10,261,243
2018-01-04,Jaiden Mispy,8,471,676
2018-01-05,Jaiden Mispy,9,691,399
2018-01-06,Jaiden Mispy,6,89,12
2018-01-09,Jaiden Mispy,4,141,12
2018-01-10,Jaiden Mispy,6,676,739
2018-01-11,Jaiden Mispy,14,615,573
2018-01-12,Jaiden Mispy,2,8,6
2018-01-13,Jaiden Mispy,2,0,13
2018-01-16,Jaiden Mispy,3,6,2
2018-01-17,Jaiden Mispy,4,202,36
2018-01-18,Jaiden Mispy,7,94,53
2018-01-22,Jaiden Mispy,2,3,4
2018-01-25,Jaiden Mispy,1,2,1
2018-01-31,Jaiden Mispy,1,10,4
2018-02-01,Jaiden Mispy,2,75,32
2018-02-02,Jaiden Mispy,4,23,66
2018-02-05,Jaiden Mispy,1,2,2
2018-02-06,Jaiden Mispy,1,6,6
2018-02-08,Aibek Aldabergenov,1,396,2
2018-02-08,Jaiden Mispy,1,41,219
2018-02-09,Aibek Aldabergenov,1,5,2
2018-02-09,Jaiden Mispy,8,370,149
2018-02-10,Aibek Aldabergenov,1,6,2
2018-02-10,Jaiden Mispy,4,51,213
2018-02-11,Aibek Aldabergenov,2,474,0
2018-02-13,Jaiden Mispy,2,320,254
2018-02-14,Aibek Aldabergenov,1,297,0
2018-02-14,Jaiden Mispy,3,6,7
2018-02-16,Aibek Aldabergenov,2,44,2
2018-02-16,Jaiden Mispy,17,1115,620
2018-02-18,Aibek Aldabergenov,1,269,0
2018-02-20,Jaiden Mispy,2,232,194
2018-02-21,Jaiden Mispy,7,724,244
2018-02-22,Jaiden Mispy,6,475,179
2018-02-23,Jaiden Mispy,4,573,256
2018-02-28,Jaiden Mispy,4,10,9
2018-03-02,Jaiden Mispy,2,7,28
2018-03-06,Jaiden Mispy,6,469,298
